Name,Surname,Student ID,Birth Year,Phone Number,Enrollment Year,ASSIGN_1,ASSIGN_2,ASSIGN_3,ASSIGN_4,ASSIGN_5,ASSIGN_6,ASSIGN_7,ASSIGN_8,ASSIGN_9,ASSIGN_10,ASSIGN_11,ASSIGN_12,InClass_1,InClass_2,Final
Whittaker,Dimbleby,2644955645,2005,(311) 7929873,1988,1,1,1,6,2,2,3,7,4,1,5,0,8,0,72
Dulcie,Conring,8858922166,2001,(590) 2364483,2007,7,1,3,4,3,6,1,1,1,6,4,0,8,1,87
Gan,Reihill,4170589084,1987,(713) 2153922,2002,6,2,6,4,6,4,7,2,3,1,3,6,3,0,12
Sallee,Sweetzer,8342953610,1993,(590) 1758691,2005,3,2,4,4,4,0,6,7,6,3,4,3,7,8,11
Maggie,Josland,2392448388,2006,(713) 9543819,1998,3,2,7,7,5,6,7,0,2,4,6,4,3,4,77
Sharia,Crookston,7622271160,2004,(597) 1709650,2000,2,7,3,2,1,3,3,4,5,1,4,4,1,6,8
Etan,Hearle,9904501947,1998,(892) 7205726,1997,1,0,4,3,2,4,5,6,6,1,2,5,2,7,73
Guthrey,Reagan,2274628394,2001,(135) 8026268,2007,1,5,6,6,2,4,5,2,4,2,6,0,4,7,35
Danie,Hubbock,4421927309,2012,(671) 4993375,2012,3,0,5,2,7,0,7,5,4,7,5,0,4,8,93
Innis,Weatherhill,8970520759,1985,(677) 2436348,1987,1,1,4,7,3,3,7,1,1,2,5,6,7,4,87
Galen,Quarry,2431502619,1998,(597) 1013580,2003,6,2,4,2,1,0,3,5,7,4,0,5,6,6,31
Marion,Giovanetti,2068722259,1995,(324) 3039837,2011,2,7,5,1,1,4,7,3,0,6,3,6,3,5,50
Torry,Scarasbrick,6397579743,2007,(826) 2869475,2009,6,0,4,2,1,5,3,6,4,3,6,4,5,2,96
Farris,Myall,6510556014,2003,(874) 6612070,2009,5,1,1,1,4,3,7,3,3,7,7,0,4,2,65
Gerick,Inker,2007877651,1989,(377) 5934801,2012,1,0,4,2,3,1,3,2,3,0,5,1,3,4,43
Jobi,Tyer,8336078398,1999,(958) 9213002,2006,5,0,4,6,1,4,5,6,1,2,2,0,3,1,85
Maurizia,Gheorghe,3971930484,1995,(744) 3954796,2005,2,1,4,3,6,4,1,2,1,4,7,0,6,2,77
Erna,Mettrick,8728299175,2001,(627) 8853350,1985,4,4,7,3,6,6,3,1,6,4,5,4,8,8,17
Dulcinea,Mallison,9372565202,1999,(723) 4338864,2005,3,2,1,4,0,7,2,7,4,6,4,4,8,4,39
Bertina,Mohamed,7229914469,1997,(284) 3326819,1987,6,3,7,1,3,0,3,3,5,3,2,5,6,1,97
Sharona,Checchetelli,4033468633,2007,(862) 3983438,1992,7,4,1,7,3,6,7,5,1,5,3,3,2,1,46
Burty,Vasyuchov,4071637587,1997,(582) 3926058,1998,7,3,4,3,0,5,3,0,1,3,0,3,5,1,91
Agosto,Tivolier,7017242017,1965,(821) 8393690,1993,5,0,1,1,2,1,1,0,5,5,0,7,7,8,23
Bertie,Hallwell,6671153000,1996,(350) 6418826,1996,4,0,5,6,5,2,5,4,1,0,7,1,5,1,35
Judd,Phillps,8946822929,2006,(231) 6811586,2004,5,5,2,1,4,2,7,3,4,7,3,2,0,3,53
Letti,Hansley,5855115356,2003,(260) 8630346,1999,6,2,0,4,4,5,4,0,6,2,6,0,8,8,75
Robina,Mouser,5193508057,2012,(656) 8619758,1995,7,5,6,6,6,2,2,3,4,5,3,3,7,7,98
Bertine,Marney,1360731016,1997,(714) 6556767,2003,1,5,3,4,7,3,3,0,5,4,2,7,1,6,52
Andeee,Catt,9066211067,1994,(218) 4169012,1994,1,0,1,2,1,6,2,4,6,4,1,0,2,6,7
Sharai,Shemelt,6946027744,1990,(284) 9996961,1999,3,3,0,0,4,6,0,3,0,6,0,7,5,0,61
Aloysia,Bassham,9339215249,1986,(348) 3361546,1994,3,6,3,0,5,2,1,1,2,6,7,1,0,1,50
Ulises,O'Hoey,4879264423,2000,(254) 5388969,1985,6,1,1,2,5,7,2,6,4,0,2,6,1,3,62
Goddard,Tremayne,4343722929,1992,(218) 2267598,2003,5,5,4,4,1,7,2,4,5,1,4,5,2,5,54
Guillema,Hayworth,6033889622,2007,(514) 6917298,1996,1,3,0,6,1,2,7,2,5,7,5,2,6,0,49
Pietra,Manvelle,5094808796,1964,(995) 6279626,2010,6,4,4,5,3,6,7,4,0,5,6,5,4,4,33
Frankie,Targe,4446566814,2013,(158) 5773172,1981,0,1,0,4,2,0,6,0,6,1,2,7,1,5,26
Arlin,Franses,0014575957,2011,(713) 2132734,1998,2,3,0,6,3,2,3,4,5,7,7,5,3,2,60
Jabez,Armsby,9847442983,1992,(402) 2544572,2003,5,4,6,7,6,4,3,1,6,7,0,7,8,5,34
Benedikta,Bulluck,3834685437,2008,(626) 9785185,2010,0,7,4,5,6,5,2,1,0,5,3,0,4,1,96
Oliy,Stealy,8037468887,1993,(919) 3970425,1993,5,3,2,6,7,1,3,5,2,2,2,4,5,6,64
Remy,Liversage,9910374218,2003,(991) 7219057,2010,3,1,6,0,0,5,0,1,7,2,4,6,2,6,30
Corrina,Buscher,0031158021,1992,(430) 4899546,1990,7,0,3,0,1,7,2,0,5,4,5,2,4,5,92
Boniface,Dunsire,6095134072,1998,(940) 6163712,1998,3,4,2,5,3,7,3,5,6,2,4,0,7,8,30
